0,1,2
SI. STATES/ UNION,CITIES.,CITIES CLASSIFIED
"No.
TERRITORIES",CLASSIFIED,AS
"No.
TERRITORIES",AS,
MAHARASHTRA,"Greater Mumbai
(UA),","Amravati Nagpur
(UA), Aurangabad (UA), Nashik"
MAHARASHTRA,Pune (UA),"(UA), Bhiwandi (UA), Solapur"
MAHARASHTRA,,"(M.Corpn.), (UA),"
MAHARASHTRA,,"Vasai-Virar City (M. Corpn.),"
MAHARASHTRA,,"Malegaon (UA),"
MAHARASHTRA,,"Nanded-Waghala (M. Corpn.),"
MAHARASHTRA,,Sangli (UA
"[22
MANIPUR",,
"23
MEGHALAYA",,
"24
MIZORAM",,
"25
NAGALAND",,
26. ODISHA,,"Cuttack (UA), Bhubaneswar"
"37, PUDUCHERRY",,"UA), Raurkela (UA)
F (UA)"
"29.
RAJASTHAN",—,"Amritsar (UA), Jalandhar (UA),
Bikaner (M.Corpn.), Jaipur"
"29.
RAJASTHAN",,"(M.Corpn.), Jodhpur (UA), Kota"
"29.
RAJASTHAN",,"Corpn.), Ajmer (UA)"
"29.
RAJASTHAN",Chennai (UA),"Salem (UA), Tiruppur (UA),"
"29.
RAJASTHAN",,"Coimbatore (UA),"
"32.
TRIPURA",,"(UA), Madurai (UA), Erode (UA)"
33. UTTAR PRADESH,,"Moradabad (M.Corpn), Meerut"
33. UTTAR PRADESH,,"(UA), Ghaziabad*(UA),"
33. UTTAR PRADESH,,"Aligarh(UA), Agra (UA), Bareilly"
33. UTTAR PRADESH,,"(UA), Lucknow (UA),
Kanpur"
33. UTTAR PRADESH,,"(UA), Allahabad (UA),"
33. UTTAR PRADESH,,"Gorakhpur (UA), Varanasi (UA),
Saharanpur (M.Corpn.), Noida*"
33. UTTAR PRADESH,,"Firozabad (NPP), Jhansi"
"34
UTTARAKHAND",=,Dehradun (UA)
"35.
WEST BENGAL",Kolkata (UA),"Asansol (UA), Siliguri (UA),"
